arm,window_index,symbol,environment,source_strategy,scene_family,authority_id,scene_root_id,anchor_ob_id,partner_ob_id,pair_type,partner_timing,break_pivot_id,break_pivot_price,protected_pivot_id,protected_pivot_price,stop_owner,side,created_at,planned_entry,entry_time,actual_entry,closed_at,initial_stop,initial_target,stop_distance,stop_distance_pct,target_distance,target_r,partial_enabled,partial_1r,mfe_r,final_reason,risk_budget,quantity,position_notional,notional_to_equity,net_r,net_pnl,equity_before,equity_after
E_LEADER_PLUS_BPLUS_PROTECTED_STOP,0,ETHUSDT,eth_transition,v05,m15_ob_m5_liquidity_delivery_first_retest,v05-liquidity-delivery:ETHUSDT:15m:ob:double_3c:short:2025-01-09T18:45:00+00:00:2025-01-09T19:00:00+00:00:2025-01-09T19:15:00+00:00|ETHUSDT:5m:m15-location-sweep:short:ETHUSDT:15m:pivot:high:2025-01-10T02:30:00+00:00:3260.52:2025-01-10T04:10:00+00:00|ETHUSDT:5m:delivery:2025-01-10T04:25:00+00:00|fvg,,,,,,,,,,,short,2025-01-10T04:35:00+00:00,3250.88,2025-01-10T04:40:00+00:00,3250.88,2025-01-10T05:20:00+00:00,3264.53,3211.87,13.650000000000093,0.0041988630770745,39.01000000000022,2.857875457875455,True,False,0.6,volume_spike,307.16727041946524,18.162,59042.48256,5.766481807717213,0.1781945101333333,54.73552128138973,10238.909013982176,10293.644535263564
E_LEADER_PLUS_BPLUS_PROTECTED_STOP,0,ETHUSDT,eth_transition,v03_break_retest,a1_b1_confluence,confluence:ETHUSDT:1h:pivot:low:2025-01-12T01:00:00+00:00:3272.61|m15-m5-delivery:ETHUSDT:15m:break_retest:short:ETHUSDT:1h:pivot:low:2025-01-12T01:00:00+00:00:3272.61:2025-01-12T06:15:00+00:00:2025-01-12T06:30:00+00:00|ETHUSDT:5m:pivot:low:2025-01-12T14:25:00+00:00:3268.6|ETHUSDT:5m:ob:simple_2c:short:2025-01-12T14:50:00+00:00:2025-01-12T14:55:00+00:00,,,,,,,,,,,short,2025-01-12T15:00:00+00:00,3268.14,2025-01-12T15:05:00+00:00,3268.14,2025-01-12T15:20:00+00:00,3273.49,3263.7,5.350000000000364,0.0016370167740673,4.440000000000055,0.8299065420560285,False,False,0.8149532710279208,initial_stop,308.8093360579069,35.813,117041.89782,11.37030693250019,-0.9999982494758008,-308.8087954796912,10293.644535263564,9984.835739783872
A_LEADER_V03_BREAK_RETEST_PLUS_V05,1,ETHUSDT,eth_up,v03_break_retest,a1_b1_confluence,confluence:ETHUSDT:15m:ob:simple_2c:long:2025-07-20T02:15:00+00:00:2025-07-20T02:30:00+00:00|m15-m5-delivery:ETHUSDT:15m:break_retest:long:ETHUSDT:1h:pivot:high:2025-07-19T04:00:00+00:00:3609.1:2025-07-20T02:30:00+00:00:2025-07-20T03:15:00+00:00|ETHUSDT:5m:pivot:high:2025-07-20T05:55:00+00:00:3653.25|ETHUSDT:5m:ob:simple_2c:long:2025-07-20T06:35:00+00:00:2025-07-20T06:40:00+00:00,,,,,,,,,,,long,2025-07-20T06:45:00+00:00,3651.5,2025-07-20T07:00:00+00:00,3651.5,2025-07-20T07:20:00+00:00,3607.75,3662.64,43.75,0.0119813775160892,11.139999999999873,0.2546285714285685,False,False,0.4192000000000033,initial_target,300.0,6.333,23124.9495,2.31249495,0.2042851009199973,61.28553027599919,10000.0,10061.285530276
A_LEADER_V03_BREAK_RETEST_PLUS_V05,1,ETHUSDT,eth_up,v03_break_retest,a1_b1_confluence,confluence:ETHUSDT:1h:pivot:high:2025-07-20T03:00:00+00:00:3695|m15-m5-delivery:ETHUSDT:15m:break_retest:long:ETHUSDT:1h:pivot:high:2025-07-20T03:00:00+00:00:3695:2025-07-20T08:30:00+00:00:2025-07-20T09:15:00+00:00|ETHUSDT:5m:pivot:high:2025-07-20T14:35:00+00:00:3752.91|ETHUSDT:5m:ob:simple_2c:long:2025-07-20T14:50:00+00:00:2025-07-20T14:55:00+00:00,,,,,,,,,,,long,2025-07-20T15:00:00+00:00,3748.95,2025-07-20T15:25:00+00:00,3748.95,2025-07-20T15:35:00+00:00,3694.34,3771.37,54.61000000000013,0.0145667453553662,22.420000000000076,0.4105475187694565,False,False,0.6229628273210017,initial_target,301.83856590828,5.176,19404.5652,1.9286367673006195,0.3586714786105157,108.26088473600038,10061.285530276,10169.546415012
B_BPLUS_M15_OB_FORMATION_STOP,1,ETHUSDT,eth_up,bplus,owned_m15_anchor_overlap_first_return,ETHUSDT:v06-owned-m15:long:2025-07-11T13:45:00+00:00,ETHUSDT:v06-owned-m15:long:2025-07-11T13:45:00+00:00,ETHUSDT:15m:ob:double_3c:long:2025-07-11T13:15:00+00:00:2025-07-11T13:30:00+00:00:2025-07-11T13:45:00+00:00,ETHUSDT:5m:ob:simple_2c:long:2025-07-11T13:50:00+00:00:2025-07-11T13:55:00+00:00,m15_m5,at_anchor_close,ETHUSDT:15m:pivot:high:2025-07-11T12:00:00+00:00:2992.96,2992.96,ETHUSDT:15m:pivot:low:2025-07-11T12:30:00+00:00:2969.52,2969.52,m15_anchor_formation,long,2025-07-11T14:00:00+00:00,2994.96,2025-07-11T14:05:00+00:00,2994.96,2025-07-11T15:10:00+00:00,2975.05,3015.01,19.91000000000031,0.0066478350295163,20.050000000000185,1.007031642390752,False,False,0.5328980411853321,initial_stop,300.0,13.106,39251.94576,3.925194576,-0.9999299149045604,-299.9789744713681,10000.0,9700.021025528633
C_BPLUS_PROTECTED_M15_SWING_STOP,1,ETHUSDT,eth_up,bplus,owned_m15_anchor_overlap_first_return,ETHUSDT:v06-owned-m15:long:2025-07-11T13:45:00+00:00,ETHUSDT:v06-owned-m15:long:2025-07-11T13:45:00+00:00,ETHUSDT:15m:ob:double_3c:long:2025-07-11T13:15:00+00:00:2025-07-11T13:30:00+00:00:2025-07-11T13:45:00+00:00,ETHUSDT:5m:ob:simple_2c:long:2025-07-11T13:50:00+00:00:2025-07-11T13:55:00+00:00,m15_m5,at_anchor_close,ETHUSDT:15m:pivot:high:2025-07-11T12:00:00+00:00:2992.96,2992.96,ETHUSDT:15m:pivot:low:2025-07-11T12:30:00+00:00:2969.52,2969.52,protected_m15_swing,long,2025-07-11T14:00:00+00:00,2994.96,2025-07-11T14:05:00+00:00,2994.96,2025-07-11T15:15:00+00:00,2969.51,3015.01,25.450000000000276,0.0084976093169859,20.050000000000185,0.7878192534381127,False,False,0.4168958742632618,initial_stop,300.0,10.554,31608.80784,3.160880784,-0.999964891916596,-299.9894675749788,10000.0,9700.010532425022
D_LEADER_PLUS_BPLUS_FORMATION_STOP,1,ETHUSDT,eth_up,bplus,owned_m15_anchor_overlap_first_return,ETHUSDT:v06-owned-m15:long:2025-07-11T13:45:00+00:00,ETHUSDT:v06-owned-m15:long:2025-07-11T13:45:00+00:00,ETHUSDT:15m:ob:double_3c:long:2025-07-11T13:15:00+00:00:2025-07-11T13:30:00+00:00:2025-07-11T13:45:00+00:00,ETHUSDT:5m:ob:simple_2c:long:2025-07-11T13:50:00+00:00:2025-07-11T13:55:00+00:00,m15_m5,at_anchor_close,ETHUSDT:15m:pivot:high:2025-07-11T12:00:00+00:00:2992.96,2992.96,ETHUSDT:15m:pivot:low:2025-07-11T12:30:00+00:00:2969.52,2969.52,m15_anchor_formation,long,2025-07-11T14:00:00+00:00,2994.96,2025-07-11T14:05:00+00:00,2994.96,2025-07-11T15:10:00+00:00,2975.05,3015.01,19.91000000000031,0.0066478350295163,20.050000000000185,1.007031642390752,False,False,0.5328980411853321,initial_stop,300.0,13.106,39251.94576,3.925194576,-0.9999299149045604,-299.9789744713681,10000.0,9700.021025528633
D_LEADER_PLUS_BPLUS_FORMATION_STOP,1,ETHUSDT,eth_up,v03_break_retest,a1_b1_confluence,confluence:ETHUSDT:15m:ob:simple_2c:long:2025-07-20T02:15:00+00:00:2025-07-20T02:30:00+00:00|m15-m5-delivery:ETHUSDT:15m:break_retest:long:ETHUSDT:1h:pivot:high:2025-07-19T04:00:00+00:00:3609.1:2025-07-20T02:30:00+00:00:2025-07-20T03:15:00+00:00|ETHUSDT:5m:pivot:high:2025-07-20T05:55:00+00:00:3653.25|ETHUSDT:5m:ob:simple_2c:long:2025-07-20T06:35:00+00:00:2025-07-20T06:40:00+00:00,,,,,,,,,,,long,2025-07-20T06:45:00+00:00,3651.5,2025-07-20T07:00:00+00:00,3651.5,2025-07-20T07:20:00+00:00,3607.75,3662.64,43.75,0.0119813775160892,11.139999999999873,0.2546285714285685,False,False,0.4192000000000033,initial_target,291.00063076585894,6.143,22431.1645,2.312486173067604,0.2042843255684575,59.446867595999215,9700.021025528633,9759.46789312463
D_LEADER_PLUS_BPLUS_FORMATION_STOP,1,ETHUSDT,eth_up,v03_break_retest,a1_b1_confluence,confluence:ETHUSDT:1h:pivot:high:2025-07-20T03:00:00+00:00:3695|m15-m5-delivery:ETHUSDT:15m:break_retest:long:ETHUSDT:1h:pivot:high:2025-07-20T03:00:00+00:00:3695:2025-07-20T08:30:00+00:00:2025-07-20T09:15:00+00:00|ETHUSDT:5m:pivot:high:2025-07-20T14:35:00+00:00:3752.91|ETHUSDT:5m:ob:simple_2c:long:2025-07-20T14:50:00+00:00:2025-07-20T14:55:00+00:00,,,,,,,,,,,long,2025-07-20T15:00:00+00:00,3748.95,2025-07-20T15:25:00+00:00,3748.95,2025-07-20T15:35:00+00:00,3694.34,3771.37,54.61000000000013,0.0145667453553662,22.420000000000076,0.4105475187694565,False,False,0.6229628273210017,initial_target,292.7840367937389,5.0200000000000005,18819.729,1.928356054458477,0.3586192740213141,104.99799872000035,9759.46789312463,9864.465891844631
E_LEADER_PLUS_BPLUS_PROTECTED_STOP,1,ETHUSDT,eth_up,bplus,owned_m15_anchor_overlap_first_return,ETHUSDT:v06-owned-m15:long:2025-07-11T13:45:00+00:00,ETHUSDT:v06-owned-m15:long:2025-07-11T13:45:00+00:00,ETHUSDT:15m:ob:double_3c:long:2025-07-11T13:15:00+00:00:2025-07-11T13:30:00+00:00:2025-07-11T13:45:00+00:00,ETHUSDT:5m:ob:simple_2c:long:2025-07-11T13:50:00+00:00:2025-07-11T13:55:00+00:00,m15_m5,at_anchor_close,ETHUSDT:15m:pivot:high:2025-07-11T12:00:00+00:00:2992.96,2992.96,ETHUSDT:15m:pivot:low:2025-07-11T12:30:00+00:00:2969.52,2969.52,protected_m15_swing,long,2025-07-11T14:00:00+00:00,2994.96,2025-07-11T14:05:00+00:00,2994.96,2025-07-11T15:15:00+00:00,2969.51,3015.01,25.450000000000276,0.0084976093169859,20.050000000000185,0.7878192534381127,False,False,0.4168958742632618,initial_stop,300.0,10.554,31608.80784,3.160880784,-0.999964891916596,-299.9894675749788,10000.0,9700.010532425022
