window_index,symbol,environment,scene_root_id,anchor_ob_id,partner_ob_id,pair_type,partner_timing,pair_known_at,departure_at,zone_low,zone_high,planned_entry,target_id,target_price,formation_stop,protected_stop,side
4,BTCUSDT,btc_up,BTCUSDT:v06-owned-m15:short:2026-04-05T12:00:00+00:00,BTCUSDT:15m:ob:simple_2c:short:2026-04-05T11:45:00+00:00:2026-04-05T12:00:00+00:00,BTCUSDT:5m:ob:simple_2c:short:2026-04-05T11:55:00+00:00:2026-04-05T12:00:00+00:00,m15_m5,at_anchor_close,2026-04-05T12:15:00+00:00,2026-04-05T12:15:00+00:00,66966.2,66972.7,66966.2,BTCUSDT:1h:fvg:long:2026-04-05T08:00:00+00:00:2026-04-05T09:00:00+00:00:2026-04-05T10:00:00+00:00,66919.7,66975.0,67116.0,short
4,BTCUSDT,btc_up,BTCUSDT:v06-owned-m15:long:2026-04-08T04:00:00+00:00,BTCUSDT:15m:ob:simple_2c:long:2026-04-08T03:45:00+00:00:2026-04-08T04:00:00+00:00,BTCUSDT:5m:ob:double_3c:long:2026-04-08T03:50:00+00:00:2026-04-08T03:55:00+00:00:2026-04-08T04:00:00+00:00,m15_m5,at_anchor_close,2026-04-08T04:15:00+00:00,2026-04-08T04:15:00+00:00,71255.1,71284.5,71284.5,BTCUSDT:15m:ob:simple_2c:short:2026-04-08T02:00:00+00:00:2026-04-08T02:15:00+00:00,71450.9,71244.0,71236.09999999999,long
4,BTCUSDT,btc_up,BTCUSDT:v06-owned-m15:short:2026-04-08T11:30:00+00:00,BTCUSDT:15m:ob:simple_2c:short:2026-04-08T11:15:00+00:00:2026-04-08T11:30:00+00:00,BTCUSDT:5m:ob:simple_2c:short:2026-04-08T10:05:00+00:00:2026-04-08T10:10:00+00:00,m15_m5,at_anchor_close,2026-04-08T11:45:00+00:00,2026-04-08T11:45:00+00:00,71621.8,71628.9,71621.8,BTCUSDT:15m:fvg:long:2026-04-08T03:45:00+00:00:2026-04-08T04:00:00+00:00:2026-04-08T04:15:00+00:00|BTCUSDT:15m:ob:simple_2c:long:2026-04-08T03:45:00+00:00:2026-04-08T04:00:00+00:00|BTCUSDT:15m:ob:simple_2c:long:2026-04-08T10:45:00+00:00:2026-04-08T11:00:00+00:00|BTCUSDT:1h:ob:simple_2c:long:2026-04-08T03:00:00+00:00:2026-04-08T04:00:00+00:00,71522.8,71638.1,71765.0,short
4,BTCUSDT,btc_up,BTCUSDT:v06-owned-m15:long:2026-04-10T18:45:00+00:00,BTCUSDT:15m:ob:simple_2c:long:2026-04-10T18:30:00+00:00:2026-04-10T18:45:00+00:00,BTCUSDT:5m:ob:simple_2c:long:2026-04-10T18:40:00+00:00:2026-04-10T18:45:00+00:00,m15_m5,at_anchor_close,2026-04-10T19:00:00+00:00,2026-04-10T19:00:00+00:00,72918.0,72921.4,72921.4,BTCUSDT:15m:pivot:high:2026-04-10T18:15:00+00:00:73146.4,73146.4,72886.29999999999,72320.2,long
4,BTCUSDT,btc_up,BTCUSDT:v06-owned-m15:long:2026-04-11T12:30:00+00:00,BTCUSDT:15m:ob:double_3c:long:2026-04-11T12:00:00+00:00:2026-04-11T12:15:00+00:00:2026-04-11T12:30:00+00:00,BTCUSDT:5m:ob:simple_2c:long:2026-04-11T12:35:00+00:00:2026-04-11T12:40:00+00:00,m15_m5,at_anchor_close,2026-04-11T12:45:00+00:00,2026-04-11T12:45:00+00:00,72835.2,72860.0,72860.0,BTCUSDT:1h:ob:simple_2c:short:2026-04-11T02:00:00+00:00:2026-04-11T03:00:00+00:00,72922.0,72761.09999999999,72721.2,long
4,BTCUSDT,btc_up,BTCUSDT:v06-owned-m15:short:2026-04-12T12:45:00+00:00,BTCUSDT:15m:ob:simple_2c:short:2026-04-12T12:30:00+00:00:2026-04-12T12:45:00+00:00,BTCUSDT:5m:ob:double_3c:short:2026-04-12T11:20:00+00:00:2026-04-12T11:25:00+00:00:2026-04-12T11:30:00+00:00,m15_m5,at_anchor_close,2026-04-12T13:00:00+00:00,2026-04-12T13:00:00+00:00,71439.6,71440.3,71439.6,BTCUSDT:4h:pivot:low:2026-04-12T00:00:00+00:00:71267.8,71267.8,71466.70000000001,71672.70000000001,short
4,BTCUSDT,btc_up,BTCUSDT:v06-owned-m15:long:2026-04-12T17:15:00+00:00,BTCUSDT:15m:ob:simple_2c:long:2026-04-12T17:00:00+00:00:2026-04-12T17:15:00+00:00,BTCUSDT:5m:ob:simple_2c:long:2026-04-12T16:15:00+00:00:2026-04-12T16:20:00+00:00,m15_m5,at_anchor_close,2026-04-12T17:30:00+00:00,2026-04-12T17:30:00+00:00,70853.4,70889.9,70889.9,BTCUSDT:15m:ob:simple_2c:short:2026-04-12T14:15:00+00:00:2026-04-12T14:30:00+00:00,70956.4,70848.5,70776.9,long
4,BTCUSDT,btc_up,BTCUSDT:v06-owned-m15:long:2026-04-13T11:00:00+00:00,BTCUSDT:15m:ob:double_3c:long:2026-04-13T10:30:00+00:00:2026-04-13T10:45:00+00:00:2026-04-13T11:00:00+00:00,BTCUSDT:5m:ob:double_3c:long:2026-04-13T10:25:00+00:00:2026-04-13T10:30:00+00:00:2026-04-13T10:35:00+00:00,m15_m5,at_anchor_close,2026-04-13T11:15:00+00:00,2026-04-13T11:15:00+00:00,70718.7,70721.3,70721.3,BTCUSDT:15m:fvg:short:2026-04-13T06:45:00+00:00:2026-04-13T07:00:00+00:00:2026-04-13T07:15:00+00:00|BTCUSDT:15m:fvg:short:2026-04-13T07:00:00+00:00:2026-04-13T07:15:00+00:00:2026-04-13T07:30:00+00:00|BTCUSDT:15m:pivot:high:2026-04-13T09:00:00+00:00:70866.8|BTCUSDT:1h:fvg:short:2026-04-13T06:00:00+00:00:2026-04-13T07:00:00+00:00:2026-04-13T08:00:00+00:00|BTCUSDT:1h:ob:double_3c:short:2026-04-13T05:00:00+00:00:2026-04-13T06:00:00+00:00:2026-04-13T07:00:00+00:00|BTCUSDT:1h:ob:simple_2c:short:2026-04-13T06:00:00+00:00:2026-04-13T07:00:00+00:00|BTCUSDT:4h:ob:simple_2c:short:2026-04-12T16:00:00+00:00:2026-04-12T20:00:00+00:00,70774.6,70649.9,70523.29999999999,long
4,BTCUSDT,btc_up,BTCUSDT:v06-owned-m15:long:2026-04-13T12:45:00+00:00,BTCUSDT:15m:ob:simple_2c:long:2026-04-13T12:30:00+00:00:2026-04-13T12:45:00+00:00,BTCUSDT:1h:ob:simple_2c:long:2026-04-12T23:00:00+00:00:2026-04-13T00:00:00+00:00,h1_m15,at_anchor_close,2026-04-13T13:00:00+00:00,2026-04-13T13:00:00+00:00,70801.9,70822.0,70822.0,BTCUSDT:4h:ob:simple_2c:short:2026-04-12T16:00:00+00:00:2026-04-12T20:00:00+00:00,70848.5,70724.2,70649.9,long
4,BTCUSDT,btc_up,BTCUSDT:v06-owned-m15:long:2026-04-13T22:00:00+00:00,BTCUSDT:15m:ob:simple_2c:long:2026-04-13T21:45:00+00:00:2026-04-13T22:00:00+00:00,BTCUSDT:5m:ob:simple_2c:long:2026-04-13T21:55:00+00:00:2026-04-13T22:00:00+00:00,m15_m5,at_anchor_close,2026-04-13T22:15:00+00:00,2026-04-13T22:15:00+00:00,73143.4,73198.1,73198.1,BTCUSDT:1h:pivot:high:2026-04-13T19:00:00+00:00:73447.3,73447.3,73129.2,72000.4,long
5,BTCUSDT,btc_range,BTCUSDT:v06-owned-m15:short:2026-06-08T23:15:00+00:00,BTCUSDT:15m:ob:simple_2c:short:2026-06-08T23:00:00+00:00:2026-06-08T23:15:00+00:00,BTCUSDT:5m:ob:simple_2c:short:2026-06-08T23:10:00+00:00:2026-06-08T23:15:00+00:00,m15_m5,at_anchor_close,2026-06-08T23:30:00+00:00,2026-06-08T23:30:00+00:00,63523.8,63557.2,63523.8,BTCUSDT:15m:fvg:long:2026-06-08T12:15:00+00:00:2026-06-08T12:30:00+00:00:2026-06-08T12:45:00+00:00|BTCUSDT:1h:ob:simple_2c:long:2026-06-08T08:00:00+00:00:2026-06-08T09:00:00+00:00|BTCUSDT:1h:ob:simple_2c:long:2026-06-08T19:00:00+00:00:2026-06-08T20:00:00+00:00,63484.4,63567.8,63840.8,short
5,BTCUSDT,btc_range,BTCUSDT:v06-owned-m15:long:2026-06-09T04:30:00+00:00,BTCUSDT:15m:ob:double_3c:long:2026-06-09T04:00:00+00:00:2026-06-09T04:15:00+00:00:2026-06-09T04:30:00+00:00,BTCUSDT:5m:ob:double_3c:long:2026-06-09T03:45:00+00:00:2026-06-09T03:50:00+00:00:2026-06-09T03:55:00+00:00,m15_m5,at_anchor_close,2026-06-09T04:45:00+00:00,2026-06-09T04:45:00+00:00,62760.2,62808.5,62808.5,BTCUSDT:1h:fvg:short:2026-06-08T23:00:00+00:00:2026-06-09T00:00:00+00:00:2026-06-09T01:00:00+00:00,62844.3,62718.4,62668.2,long
