arm,window_index,symbol,environment,scene_family,subtype,delivery_kind,stop_owner,entry_zone_source,authority_id,location_id,side,created_at,entry_time,closed_at,entry_price,initial_stop,initial_target,stop_distance,target_distance,target_r,mfe_r,partial_1r,final_reason,risk_budget,net_r,net_pnl,equity_before,equity_after,sweep_to_delivery_minutes,delivery_to_entry_minutes
A_V03_FIRST_REVISIT_LOCKED,0,ETHUSDT,eth_transition,a1_b1_confluence,sweep_reclaim,,,,confluence:ETHUSDT:1h:pivot:high:2025-01-09T09:00:00+00:00:3327.45|m15-m5-delivery:ETHUSDT:15m:sweep_reclaim:short:ETHUSDT:1h:pivot:high:2025-01-09T09:00:00+00:00:3327.45:2025-01-09T15:45:00+00:00|ETHUSDT:5m:pivot:low:2025-01-09T21:30:00+00:00:3206.88|ETHUSDT:5m:ob:simple_2c:short:2025-01-09T21:50:00+00:00:2025-01-09T21:55:00+00:00,ETHUSDT:1h:pivot:high:2025-01-09T09:00:00+00:00:3327.45,short,2025-01-09T22:00:00+00:00,2025-01-09T22:05:00+00:00,2025-01-09T22:10:00+00:00,3206.68,3335.01,3203.77,128.33000000000038,2.9099999999998545,0.022675913660093867,0.163796462245772,False,initial_target,300.0,0.01236126326666556,3.708378979999668,10000.0,10003.70837898,,
A_V03_FIRST_REVISIT_LOCKED,0,ETHUSDT,eth_transition,a1_b1_confluence,break_retest,,,,confluence:ETHUSDT:1h:pivot:low:2025-01-12T01:00:00+00:00:3272.61|m15-m5-delivery:ETHUSDT:15m:break_retest:short:ETHUSDT:1h:pivot:low:2025-01-12T01:00:00+00:00:3272.61:2025-01-12T06:15:00+00:00:2025-01-12T06:30:00+00:00|ETHUSDT:5m:pivot:low:2025-01-12T14:25:00+00:00:3268.6|ETHUSDT:5m:ob:simple_2c:short:2025-01-12T14:50:00+00:00:2025-01-12T14:55:00+00:00,ETHUSDT:1h:pivot:low:2025-01-12T01:00:00+00:00:3272.61,short,2025-01-12T15:00:00+00:00,2025-01-12T15:05:00+00:00,2025-01-12T15:20:00+00:00,3268.14,3273.4900000000002,3263.7,5.350000000000364,4.440000000000055,0.8299065420560285,0.8149532710279208,False,initial_stop,300.1112513694,-0.9999904234717457,-300.10837734552183,10003.70837898,9703.600001634479,,
B_V04_PREEXISTING_VALID_EPISODE_LOCKED,0,ETHUSDT,eth_transition,preexisting_ob_structure_first_retest,,,,,structure-first-retest:ETHUSDT:15m:ob:simple_2c:short:2025-01-02T17:00:00+00:00:2025-01-02T17:15:00+00:00|ETHUSDT:5m:pivot:low:2025-01-02T23:45:00+00:00:3446.74|2025-01-03T00:15:00+00:00,ETHUSDT:15m:ob:simple_2c:short:2025-01-02T17:00:00+00:00:2025-01-02T17:15:00+00:00,short,2025-01-03T00:20:00+00:00,2025-01-03T02:10:00+00:00,2025-01-03T03:55:00+00:00,3468.67,3478.2000000000003,3419.65,9.5300000000002,49.01999999999998,5.143756558237036,1.5225603357817328,True,initial_stop,300.0,0.1797283138919663,53.91849416758989,10000.0,10053.91849416759,,
B_V04_PREEXISTING_VALID_EPISODE_LOCKED,0,ETHUSDT,eth_transition,preexisting_ob_structure_first_retest,,,,,structure-first-retest:ETHUSDT:15m:ob:simple_2c:long:2025-01-04T19:30:00+00:00:2025-01-04T19:45:00+00:00|ETHUSDT:5m:pivot:high:2025-01-05T03:35:00+00:00:3636.83|2025-01-05T03:55:00+00:00,ETHUSDT:15m:ob:simple_2c:long:2025-01-04T19:30:00+00:00:2025-01-04T19:45:00+00:00,long,2025-01-05T04:00:00+00:00,2025-01-05T06:05:00+00:00,2025-01-05T06:35:00+00:00,3629.89,3626.39,3675.4,3.5,45.51000000000022,13.002857142857206,2.4742857142858026,True,volume_spike,301.6175548250277,0.3670991382204859,110.72354444843782,10053.91849416759,10164.642038616028,,
B_V04_PREEXISTING_VALID_EPISODE_LOCKED,0,ETHUSDT,eth_transition,preexisting_ob_structure_first_retest,,,,,structure-first-retest:ETHUSDT:15m:ob:double_3c:short:2025-01-09T18:45:00+00:00:2025-01-09T19:00:00+00:00:2025-01-09T19:15:00+00:00|ETHUSDT:5m:pivot:low:2025-01-10T04:05:00+00:00:3248.26|2025-01-10T04:25:00+00:00,ETHUSDT:15m:ob:double_3c:short:2025-01-09T18:45:00+00:00:2025-01-09T19:00:00+00:00:2025-01-09T19:15:00+00:00,short,2025-01-10T04:30:00+00:00,2025-01-10T05:40:00+00:00,2025-01-10T05:40:00+00:00,3258.77,3267.3100000000004,3155.5,8.540000000000418,103.26999999999998,12.092505854800342,0.0,False,initial_stop,304.9392611584808,-0.9999926538207353,-304.9370210200035,10164.642038616028,9859.705017596025,,
C_V05_M15_SWEEP_DELIVERY_FIRST_REVISIT,0,ETHUSDT,eth_transition,m15_ob_m5_liquidity_delivery_first_retest,fvg,fvg,m15_event,fvg_wick_gap,v05-liquidity-delivery:ETHUSDT:15m:ob:simple_2c:short:2025-01-02T17:00:00+00:00:2025-01-02T17:15:00+00:00|ETHUSDT:5m:m15-location-sweep:short:ETHUSDT:15m:pivot:high:2025-01-02T20:15:00+00:00:3474.76:2025-01-03T02:15:00+00:00|ETHUSDT:5m:delivery:2025-01-03T04:20:00+00:00|fvg,ETHUSDT:15m:ob:simple_2c:short:2025-01-02T17:00:00+00:00:2025-01-02T17:15:00+00:00,short,2025-01-03T04:30:00+00:00,2025-01-03T04:35:00+00:00,2025-01-03T05:05:00+00:00,3460.97,3476.34,3441.36,15.370000000000346,19.609999999999673,1.2758620689654672,0.8627195836043894,False,volume_spike,300.0,0.3027954167405884,90.83862502217652,10000.0,10090.838625022176,130.0,5.0
C_V05_M15_SWEEP_DELIVERY_FIRST_REVISIT,0,ETHUSDT,eth_transition,m15_ob_m5_liquidity_delivery_first_retest,fvg,fvg,m15_event,fvg_wick_gap,v05-liquidity-delivery:ETHUSDT:15m:ob:simple_2c:long:2025-01-04T19:30:00+00:00:2025-01-04T19:45:00+00:00|ETHUSDT:5m:m15-location-sweep:long:ETHUSDT:15m:pivot:low:2025-01-05T01:45:00+00:00:3629.52:2025-01-05T03:45:00+00:00|ETHUSDT:5m:delivery:2025-01-05T03:55:00+00:00|fvg,ETHUSDT:15m:ob:simple_2c:long:2025-01-04T19:30:00+00:00:2025-01-04T19:45:00+00:00,long,2025-01-05T04:05:00+00:00,2025-01-05T04:20:00+00:00,2025-01-05T04:25:00+00:00,3637.03,3628.14,3644.61,8.890000000000327,7.579999999999927,0.8526434195725139,1.3082114735657173,False,initial_target,302.72515875066523,0.48912482058339285,148.07038895999824,10090.838625022176,10238.909013982175,15.0,15.0
C_V05_M15_SWEEP_DELIVERY_FIRST_REVISIT,0,ETHUSDT,eth_transition,m15_ob_m5_liquidity_delivery_first_retest,fvg,fvg,m15_event,fvg_wick_gap,v05-liquidity-delivery:ETHUSDT:15m:ob:double_3c:short:2025-01-09T18:45:00+00:00:2025-01-09T19:00:00+00:00:2025-01-09T19:15:00+00:00|ETHUSDT:5m:m15-location-sweep:short:ETHUSDT:15m:pivot:high:2025-01-10T02:30:00+00:00:3260.52:2025-01-10T04:10:00+00:00|ETHUSDT:5m:delivery:2025-01-10T04:25:00+00:00|fvg,ETHUSDT:15m:ob:double_3c:short:2025-01-09T18:45:00+00:00:2025-01-09T19:00:00+00:00:2025-01-09T19:15:00+00:00,short,2025-01-10T04:35:00+00:00,2025-01-10T04:40:00+00:00,2025-01-10T05:20:00+00:00,3250.88,3264.53,3211.87,13.650000000000091,39.01000000000022,2.857875457875455,0.6,False,volume_spike,307.16727041946524,0.1781945101333333,54.73552128138973,10238.909013982175,10293.644535263564,20.0,5.0
D_V03_PLUS_V05_SINGLE_SLOT,0,ETHUSDT,eth_transition,m15_ob_m5_liquidity_delivery_first_retest,fvg,fvg,m15_event,fvg_wick_gap,v05-liquidity-delivery:ETHUSDT:15m:ob:simple_2c:short:2025-01-02T17:00:00+00:00:2025-01-02T17:15:00+00:00|ETHUSDT:5m:m15-location-sweep:short:ETHUSDT:15m:pivot:high:2025-01-02T20:15:00+00:00:3474.76:2025-01-03T02:15:00+00:00|ETHUSDT:5m:delivery:2025-01-03T04:20:00+00:00|fvg,ETHUSDT:15m:ob:simple_2c:short:2025-01-02T17:00:00+00:00:2025-01-02T17:15:00+00:00,short,2025-01-03T04:30:00+00:00,2025-01-03T04:35:00+00:00,2025-01-03T05:05:00+00:00,3460.97,3476.34,3441.36,15.370000000000346,19.609999999999673,1.2758620689654672,0.8627195836043894,False,volume_spike,300.0,0.3027954167405884,90.83862502217652,10000.0,10090.838625022176,130.0,5.0
D_V03_PLUS_V05_SINGLE_SLOT,0,ETHUSDT,eth_transition,m15_ob_m5_liquidity_delivery_first_retest,fvg,fvg,m15_event,fvg_wick_gap,v05-liquidity-delivery:ETHUSDT:15m:ob:simple_2c:long:2025-01-04T19:30:00+00:00:2025-01-04T19:45:00+00:00|ETHUSDT:5m:m15-location-sweep:long:ETHUSDT:15m:pivot:low:2025-01-05T01:45:00+00:00:3629.52:2025-01-05T03:45:00+00:00|ETHUSDT:5m:delivery:2025-01-05T03:55:00+00:00|fvg,ETHUSDT:15m:ob:simple_2c:long:2025-01-04T19:30:00+00:00:2025-01-04T19:45:00+00:00,long,2025-01-05T04:05:00+00:00,2025-01-05T04:20:00+00:00,2025-01-05T04:25:00+00:00,3637.03,3628.14,3644.61,8.890000000000327,7.579999999999927,0.8526434195725139,1.3082114735657173,False,initial_target,302.72515875066523,0.48912482058339285,148.07038895999824,10090.838625022176,10238.909013982175,15.0,15.0
