arm,window_index,symbol,environment,authorities,attempts,closed_trades,opportunity_rejections,sizing_rejections,pending_cancellations,slot_suppressed_authorities,open_at_data_end,cancellation_reasons,final_equity,funnel_m15_locations,funnel_location_pivot_pairs,funnel_location_sweep_events,funnel_ob_delivery_candidates,funnel_fvg_delivery_candidates,funnel_episodes_without_delivery,funnel_targets_missing_at_event,funnel_targets_used_before_delivery,funnel_duplicate_scenes_suppressed,funnel_authorities
A_V03_FIRST_REVISIT_LOCKED,0,ETHUSDT,eth_transition,16,2,2,9,0,5,0,0,"{""initial_target_used_before_entry"": 5}",9703.600001634479,,,,,,,,,,
B_V04_PREEXISTING_VALID_EPISODE_LOCKED,0,ETHUSDT,eth_transition,9,3,3,0,0,6,0,0,"{""initial_target_used_before_entry"": 6}",9859.705017596025,,,,,,,,,,
C_V05_M15_SWEEP_DELIVERY_FIRST_REVISIT,0,ETHUSDT,eth_transition,3,3,3,0,0,0,0,0,{},10293.644535263564,373.0,400.0,13.0,7.0,8.0,10.0,0.0,0.0,0.0,3.0
D_V03_PLUS_V05_SINGLE_SLOT,0,ETHUSDT,eth_transition,19,5,5,9,0,5,0,0,"{""initial_target_used_before_entry"": 5}",9988.542653417748,,,,,,,,,,
E_V03_BREAK_RETEST_PLUS_V05_SINGLE_SLOT,0,ETHUSDT,eth_transition,7,4,4,1,0,2,0,0,"{""initial_target_used_before_entry"": 2}",9984.835739783872,,,,,,,,,,
A_V03_FIRST_REVISIT_LOCKED,1,ETHUSDT,eth_up,13,3,3,6,0,2,0,0,"{""initial_target_used_before_entry"": 2}",9864.456721921508,,,,,,,,,,
B_V04_PREEXISTING_VALID_EPISODE_LOCKED,1,ETHUSDT,eth_up,1,1,1,0,0,0,0,0,{},9700.015903542793,,,,,,,,,,
C_V05_M15_SWEEP_DELIVERY_FIRST_REVISIT,1,ETHUSDT,eth_up,0,0,0,0,0,0,0,0,{},10000.0,372.0,243.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
D_V03_PLUS_V05_SINGLE_SLOT,1,ETHUSDT,eth_up,13,3,3,6,0,2,0,0,"{""initial_target_used_before_entry"": 2}",9864.456721921508,,,,,,,,,,
E_V03_BREAK_RETEST_PLUS_V05_SINGLE_SLOT,1,ETHUSDT,eth_up,6,2,2,2,0,1,0,0,"{""initial_target_used_before_entry"": 1}",10169.546415012,,,,,,,,,,
A_V03_FIRST_REVISIT_LOCKED,2,BTCUSDT,btc_down_high_vol,15,1,1,11,0,2,0,0,"{""initial_target_used_before_entry"": 2}",10230.211664799997,,,,,,,,,,
B_V04_PREEXISTING_VALID_EPISODE_LOCKED,2,BTCUSDT,btc_down_high_vol,5,2,2,0,0,2,1,0,"{""initial_target_used_before_entry"": 2}",10347.965959370622,,,,,,,,,,
C_V05_M15_SWEEP_DELIVERY_FIRST_REVISIT,2,BTCUSDT,btc_down_high_vol,2,1,1,0,0,1,0,0,"{""initial_target_used_before_entry"": 1}",10148.2956764,394.0,309.0,11.0,49.0,89.0,9.0,0.0,0.0,0.0,2.0
D_V03_PLUS_V05_SINGLE_SLOT,2,BTCUSDT,btc_down_high_vol,17,2,2,11,0,3,0,0,"{""initial_target_used_before_entry"": 3}",10382.019607219998,,,,,,,,,,
E_V03_BREAK_RETEST_PLUS_V05_SINGLE_SLOT,2,BTCUSDT,btc_down_high_vol,9,2,2,4,0,2,0,0,"{""initial_target_used_before_entry"": 2}",10382.019607219998,,,,,,,,,,
A_V03_FIRST_REVISIT_LOCKED,3,ETHUSDT,eth_down_high_vol,11,2,2,6,0,3,0,0,"{""initial_target_used_before_entry"": 3}",10133.695259607903,,,,,,,,,,
B_V04_PREEXISTING_VALID_EPISODE_LOCKED,3,ETHUSDT,eth_down_high_vol,4,1,1,0,0,3,0,0,"{""initial_target_used_before_entry"": 3}",10278.179575975242,,,,,,,,,,
C_V05_M15_SWEEP_DELIVERY_FIRST_REVISIT,3,ETHUSDT,eth_down_high_vol,2,1,1,0,0,1,0,0,"{""initial_target_used_before_entry"": 1}",10007.120089315802,412.0,341.0,8.0,30.0,59.0,5.0,0.0,1.0,0.0,2.0
D_V03_PLUS_V05_SINGLE_SLOT,3,ETHUSDT,eth_down_high_vol,13,3,3,6,0,4,0,0,"{""initial_target_used_before_entry"": 4}",10140.907554163592,,,,,,,,,,
E_V03_BREAK_RETEST_PLUS_V05_SINGLE_SLOT,3,ETHUSDT,eth_down_high_vol,10,3,3,3,0,4,0,0,"{""initial_target_used_before_entry"": 4}",10140.907554163592,,,,,,,,,,
A_V03_FIRST_REVISIT_LOCKED,4,BTCUSDT,btc_up,11,1,1,10,0,0,0,0,{},9700.241391616011,,,,,,,,,,
B_V04_PREEXISTING_VALID_EPISODE_LOCKED,4,BTCUSDT,btc_up,3,3,3,0,0,0,0,0,{},9126.967317649493,,,,,,,,,,
C_V05_M15_SWEEP_DELIVERY_FIRST_REVISIT,4,BTCUSDT,btc_up,1,1,1,0,0,0,0,0,{},9700.037587284001,386.0,292.0,16.0,1.0,2.0,15.0,0.0,0.0,0.0,1.0
