arm,scope,entry_arm,window_index,symbol,environment,authorities,attempts,closed_trades,opportunity_rejections,sizing_rejections,pending_cancellations,slot_suppressed_authorities,cancellation_reasons,final_equity,funnel_m15_fvgs,funnel_preconfirmed_boundaries,funnel_directional_breaks,funnel_accepted_breaks,funnel_boundary_linked_fvgs,funnel_targets_missing_at_acceptance,funnel_duplicate_scenes_suppressed,funnel_authorities,simultaneous_candidate_cutoffs,simultaneous_candidates,entry_rejections,open_censored,entry_censored
A_LEADER_V03_BREAK_RETEST_PLUS_V05,window_panel,leader_locked_limit,0.0,ETHUSDT,eth_transition,7,4,4,1,0,2,0,"{""initial_target_used_before_entry"": 2}",9984.835739783872,,,,,,,,,,,,,
B_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,0.0,ETHUSDT,eth_transition,19,6,6,2,0,11,0,"{""initial_target_used_before_entry"": 11}",9628.677808634586,255.0,249.0,72.0,65.0,37.0,18.0,0.0,19.0,,,,,
C_V07_BOUNDARY_ACCEPT_NEXT_OPEN,window_panel,boundary_accept_next_open,0.0,ETHUSDT,eth_transition,19,5,5,14,0,0,0,{},9868.971829083779,255.0,249.0,72.0,65.0,37.0,18.0,0.0,19.0,,,,,
D_LEADER_PLUS_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,0.0,ETHUSDT,eth_transition,26,10,10,2,0,13,1,"{""initial_target_used_before_entry"": 13}",9614.078096311978,255.0,249.0,72.0,65.0,37.0,18.0,0.0,19.0,,,,,
E_LEADER_PLUS_V07_BOUNDARY_ACCEPT_NEXT_OPEN,window_panel,boundary_accept_next_open,0.0,ETHUSDT,eth_transition,26,9,9,14,0,2,1,"{""initial_target_used_before_entry"": 2}",9854.018023493303,255.0,249.0,72.0,65.0,37.0,18.0,0.0,19.0,,,,,
A_LEADER_V03_BREAK_RETEST_PLUS_V05,window_panel,leader_locked_limit,1.0,ETHUSDT,eth_up,6,2,2,2,0,1,0,"{""initial_target_used_before_entry"": 1}",10169.546415012,,,,,,,,,,,,,
B_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,1.0,ETHUSDT,eth_up,16,3,3,2,0,11,0,"{""initial_target_used_before_entry"": 11}",10031.619167356077,246.0,233.0,69.0,64.0,31.0,15.0,0.0,16.0,,,,,
C_V07_BOUNDARY_ACCEPT_NEXT_OPEN,window_panel,boundary_accept_next_open,1.0,ETHUSDT,eth_up,16,7,7,9,0,0,0,{},9956.308124913992,246.0,233.0,69.0,64.0,31.0,15.0,0.0,16.0,,,,,
D_LEADER_PLUS_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,1.0,ETHUSDT,eth_up,22,5,5,4,0,12,0,"{""initial_target_used_before_entry"": 12}",10201.700667921075,246.0,233.0,69.0,64.0,31.0,15.0,0.0,16.0,,,,,
E_LEADER_PLUS_V07_BOUNDARY_ACCEPT_NEXT_OPEN,window_panel,boundary_accept_next_open,1.0,ETHUSDT,eth_up,22,9,9,11,0,1,0,"{""initial_target_used_before_entry"": 1}",10125.096357781991,246.0,233.0,69.0,64.0,31.0,15.0,0.0,16.0,,,,,
