arm,scope,entry_arm,window_index,symbol,environment,authorities,attempts,closed_trades,opportunity_rejections,sizing_rejections,pending_cancellations,slot_suppressed_authorities,cancellation_reasons,final_equity,funnel_m15_fvgs,funnel_preconfirmed_boundaries,funnel_directional_breaks,funnel_accepted_breaks,funnel_boundary_linked_fvgs,funnel_targets_missing_at_acceptance,funnel_duplicate_scenes_suppressed,funnel_authorities,simultaneous_candidate_cutoffs,simultaneous_candidates,entry_rejections,open_censored,entry_censored
A_LEADER_V03_BREAK_RETEST_PLUS_V05,window_panel,leader_locked_limit,2.0,BTCUSDT,btc_down_high_vol,9,2,2,4,0,2,0,"{""initial_target_used_before_entry"": 2}",10382.019607219998,,,,,,,,,,,,,
B_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,2.0,BTCUSDT,btc_down_high_vol,22,1,1,4,0,17,0,"{""initial_target_used_before_entry"": 17}",10045.502986337118,263.0,254.0,82.0,74.0,47.0,25.0,0.0,22.0,,,,,
C_V07_BOUNDARY_ACCEPT_NEXT_OPEN,window_panel,boundary_accept_next_open,2.0,BTCUSDT,btc_down_high_vol,22,5,5,17,0,0,0,{},10371.8888393184,263.0,254.0,82.0,74.0,47.0,25.0,0.0,22.0,,,,,
D_LEADER_PLUS_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,2.0,BTCUSDT,btc_down_high_vol,31,3,3,8,0,19,0,"{""initial_target_used_before_entry"": 19}",10429.188526597116,263.0,254.0,82.0,74.0,47.0,25.0,0.0,22.0,,,,,
E_LEADER_PLUS_V07_BOUNDARY_ACCEPT_NEXT_OPEN,window_panel,boundary_accept_next_open,2.0,BTCUSDT,btc_down_high_vol,31,7,7,21,0,2,0,"{""initial_target_used_before_entry"": 2}",10768.376942635894,263.0,254.0,82.0,74.0,47.0,25.0,0.0,22.0,,,,,
A_LEADER_V03_BREAK_RETEST_PLUS_V05,window_panel,leader_locked_limit,3.0,ETHUSDT,eth_down_high_vol,10,3,3,3,0,4,0,"{""initial_target_used_before_entry"": 4}",10140.907554163592,,,,,,,,,,,,,
B_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,3.0,ETHUSDT,eth_down_high_vol,28,4,4,1,0,23,0,"{""initial_target_used_before_entry"": 23}",10078.173704232822,271.0,263.0,86.0,76.0,53.0,25.0,0.0,28.0,,,,,
C_V07_BOUNDARY_ACCEPT_NEXT_OPEN,window_panel,boundary_accept_next_open,3.0,ETHUSDT,eth_down_high_vol,28,6,6,22,0,0,0,{},9746.947969489225,271.0,263.0,86.0,76.0,53.0,25.0,0.0,28.0,,,,,
D_LEADER_PLUS_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,3.0,ETHUSDT,eth_down_high_vol,38,7,7,4,0,27,0,"{""initial_target_used_before_entry"": 27}",10220.17678266793,271.0,263.0,86.0,76.0,53.0,25.0,0.0,28.0,,,,,
E_LEADER_PLUS_V07_BOUNDARY_ACCEPT_NEXT_OPEN,window_panel,boundary_accept_next_open,3.0,ETHUSDT,eth_down_high_vol,38,9,9,25,0,4,0,"{""initial_target_used_before_entry"": 4}",9884.29671461382,271.0,263.0,86.0,76.0,53.0,25.0,0.0,28.0,,,,,
A_LEADER_V03_BREAK_RETEST_PLUS_V05,window_panel,leader_locked_limit,4.0,BTCUSDT,btc_up,6,1,1,5,0,0,0,{},9700.037587284001,,,,,,,,,,,,,
B_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,4.0,BTCUSDT,btc_up,22,3,2,7,0,12,0,"{""initial_target_used_before_entry"": 12}",10174.12517890253,258.0,253.0,85.0,75.0,52.0,30.0,0.0,22.0,,,,,
C_V07_BOUNDARY_ACCEPT_NEXT_OPEN,window_panel,boundary_accept_next_open,4.0,BTCUSDT,btc_up,22,3,3,19,0,0,0,{},10154.052185338936,258.0,253.0,85.0,75.0,52.0,30.0,0.0,22.0,,,,,
D_LEADER_PLUS_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,4.0,BTCUSDT,btc_up,28,4,3,12,0,12,0,"{""initial_target_used_before_entry"": 12}",9869.629329218531,258.0,253.0,85.0,75.0,52.0,30.0,0.0,22.0,,,,,
E_LEADER_PLUS_V07_BOUNDARY_ACCEPT_NEXT_OPEN,window_panel,boundary_accept_next_open,4.0,BTCUSDT,btc_up,28,4,4,24,0,0,0,{},9849.556335654937,258.0,253.0,85.0,75.0,52.0,30.0,0.0,22.0,,,,,
A_LEADER_V03_BREAK_RETEST_PLUS_V05,window_panel,leader_locked_limit,5.0,BTCUSDT,btc_range,8,1,1,5,0,2,0,"{""initial_target_used_before_entry"": 2}",10235.698853374888,,,,,,,,,,,,,
B_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,5.0,BTCUSDT,btc_range,17,3,3,2,0,12,0,"{""initial_target_used_before_entry"": 12}",9542.912932895477,266.0,259.0,87.0,71.0,54.0,37.0,0.0,17.0,,,,,
C_V07_BOUNDARY_ACCEPT_NEXT_OPEN,window_panel,boundary_accept_next_open,5.0,BTCUSDT,btc_range,17,5,5,12,0,0,0,{},9561.875232436067,266.0,259.0,87.0,71.0,54.0,37.0,0.0,17.0,,,,,
D_LEADER_PLUS_V07_FIRST_RETURN_LIMIT,window_panel,first_return_limit,5.0,BTCUSDT,btc_range,25,4,4,7,0,14,0,"{""initial_target_used_before_entry"": 14}",9767.712876591884,266.0,259.0,87.0,71.0,54.0,37.0,0.0,17.0,,,,,
E_LEADER_PLUS_V07_BOUNDARY_ACCEPT_NEXT_OPEN,window_panel,boundary_accept_next_open,5.0,BTCUSDT,btc_range,25,6,6,17,0,2,0,"{""initial_target_used_before_entry"": 2}",9786.94923539828,266.0,259.0,87.0,71.0,54.0,37.0,0.0,17.0,,,,,
A_LEADER_V03_BREAK_RETEST_PLUS_V05,global_portfolio,leader_locked_limit,,GLOBAL,all_sampled_windows,46,13,13,20,0,10,0,,10614.286157200762,,,,,,,,,3.0,6.0,0.0,0.0,0.0
B_V07_FIRST_RETURN_LIMIT,global_portfolio,first_return_limit,,GLOBAL,all_sampled_windows,124,20,19,18,0,80,0,,9494.563107106882,,,,,,,,,6.0,12.0,0.0,1.0,0.0
C_V07_BOUNDARY_ACCEPT_NEXT_OPEN,global_portfolio,boundary_accept_next_open,,GLOBAL,all_sampled_windows,124,31,31,92,0,0,0,,9644.71698854116,,,,,,,,,6.0,12.0,0.0,0.0,0.0
D_LEADER_PLUS_V07_FIRST_RETURN_LIMIT,global_portfolio,first_return_limit,,GLOBAL,all_sampled_windows,170,33,32,37,0,90,1,,10077.783180795399,,,,,,,,,9.0,18.0,0.0,1.0,0.0
E_LEADER_PLUS_V07_BOUNDARY_ACCEPT_NEXT_OPEN,global_portfolio,boundary_accept_next_open,,GLOBAL,all_sampled_windows,170,44,44,111,0,9,3,,10236.931365109662,,,,,,,,,8.0,16.0,0.0,0.0,0.0
